kanji;niveau;traits;JLPT;radical;on;on translation;kun;kun_translation
球;S4;11;3;Tama, Oo;kyuu;globe, sphere, ball;tama;ball, bulb, bowl, sphere
陽;S4;12;3;Kozatohen;yoo;young principle, positive;-;-
宇;S4;6;2;Ukanmuri;u;eaves;-;-
宙;S4;8;1;Ukanmuri;chuu;air, space, mid-air, sky, heaven;-;-
巨;S4;5;2;Hakogamae;kyo;big, large, great;-;-
河;S4;8;2;Mizu, Sanzui, Shitamizu;ka;river, stream;kawa;river, stream
候;S4;10;3;Hito, Ninben, Hitoyane;koo;season, weather;sooroo;classical verbal ending equivalent to colloquial
底;S4;8;2;Madare;tei;bottom, base;soko;bottom
岸;S4;8;2;Yama, Yamahen;gan;bank, shore, coast, brink;kishi;bank, shore, coast, brink
坂;S4;7;2;Tsuchi, Tsuchihen;han;incline, slope, hill;saka;incline, slope, hill
環;S4;17;1;Tama, Oo;kan;ring;-;-
境;S4;14;2;Tsuchi, Tsuchihen;kyoo, [kei];boundary;sakai;boundary, border, frontier
論;S4;15;3;Gon, Gonben;ron;argument;-;-
諸;S4;15;2;Gon, Gonben;sho;many, several, various, all;-;-
肯;S4;8;2;Niku, Nikuzuki;koo;agree to, consent, comply with, undertake;-;-
否;S4;7;3;Kuchi, Kuchihen;hi;no, noes;ina;no, nay
基;S4;11;1;Tsuchi, Tsuchihen;ki;radical (in chemistry);moto, motoi;basis, foundation, origin
比;S4;4;2;Kuraberu;hi;ratio;kura(beru);compare, balance, contrast
較;S4;13;1;Kuruma, Kurumahen;kaku;compare, balance, contrast;-;-
逆;S4;9;2;Shinnyoo;gyaku;reverse, inverse, opposite, unnatural;saka, saka(rau);oppose, act contrary to
章;S4;11;2;Tatsu;shoo;chapter;-;-
述;S4;8;2;Shinnyoo;jutsu;state, speak, relate;no(beru);state, speak, recite, relate, mention
官;S4;8;3;Ukanmuri;kan;the Government, the authorities;-;-
庁;S4;5;2;Madare;choo;government office;-;-
省;S4;9;2;Me, Mehen;sei, shoo;ministry, department;kaeri(miru), habu(ku);look back
農;S4;13;2;Shinnotatsu;noo;agriculture;-;-
商;S4;11;3;Kuchi, Kuchihen;shoo;trade, merchant, quotient;akina(u);sell, handle, trade in 
労;S4;7;3;Chikara;roo;labor, toil, trouble;-;-
閣;S4;14;1;Mongamae;kaku;tower, tall building, palace, cabinet (of a government);-;-
総;S4;14;2;Ito, Itohen;soo;whole, all, general, gross, total, full;-;-
臣;S4;7;2;Shin;shin, jin;retainer, subject;-;-
象;S4;12;2;Inoko;shoo, zoo;image;-;-
融;S4;16;1;Mushi, Mushihen;yuu;dissolve, melt;-;-
民;S4;5;3;Uji;min;people, nation, subjects;tami;people, nation, subjects
共;S5;6;3;Hachi;kyoo;both;tomo;both
処;S5;5;3;Suinyoo;sho;manage, deal with;-;-
余;S5;7;3;Hito, Ninben, Hitoyane;yo;I, myself, the writer;ama(ru), ama(su);remain, be in excess, be too many. leave, spare, save 
像;S5;14;2;Hito, Ninben, Hitoyane;zoo;image, statue, figure, picture, portrait;-;-
管;S5;14;2;Take, Takekanmuri;kan;pipe, tube;kuda;pipe, tube
囲;S5;7;2;Kunigamae;i;enclosure;kako(mu), kako(u);enclose, surround, encircle
寄;S5;11;3;Ukanmuri;ki;let approach, bring near;yo(ru), yo(seru);let approach, bring near
坊;S5;7;0;Tsuchi, Tsuchihen;boo, [boQ];priest's residence;-;-
凍;S5;10;2;Nisui;too;freeze, be frozen over;koo(ru), kogo(eru);freeze, be frozen over
誤;S5;14;3;Gon, Gonben;go;err, be mistaken;ayama(ru);err, be mistaken
曇;S5;16;2;Nichi, Nichihen;don;cloud up;kumo(ru);cloud up
張;S5;11;1;Yumi, Yumihen;choo;counter for bows and stringed instruments;ha(ru);put up (a tent)
旧;S5;5;2;Nichi, Nichihen;kyuu;old things;-;-
喫;S5;12;2;Kuchi, Kuchihen;kitsu;eat, drink, smoke;-;-
替;S5;12;2;Hirabi;tai;change, turn, convert, exchange, renew, substitute, replace ;ka(eru), ka(waru);change, turn, convert, exchange, renew, substitute, replace. relieve
恵;S5;10;1;Kokoro, Risshinben, Shitagokoro;kei, e;blessing, grace, favor;megu(mu);bless
賢;S5;16;2;Kai, Kaihen;ken;wisdom, cleverness;kashiko(i);wise, intelligent
勇;S5;9;2;Chikara;yuu;bravery,courage, heroism;isa(mu);cheer up, be in high spirits
複;S5;14;2;Koromo, Koromohen;fuku;double, compound, composite, multiple;-;-
封;S5;9;2;Sun;fuu, hoo;seal;-;-
筒;S5;12;2;Take, Takekanmuri;too;pipette, tube;tsutsu;pipe, tube, case, gun barrel, sleeve, well curb
許;S5;11;3;Gon, Gonben;kyo;permit, approve;yuru(su);permit, approve
限;S5;9;3;Kozatohen;gen;limit, restrict, confine;kagi(ru);limit, restrict, confine
灯;S5;6;2;Hi, Hihen, Renga;too;lamp, light;hi;a light
尊;S5;12;2;Sun;son;value, prize, esteem;tatto(i), tooto(i), tatto(bu), tooto(bu);value, prize, esteem
詞;S5;12;2;Gon, Gonben;shi;words;-;-
副;S5;11;2;Katana, Rittoo;fuku;duplicate, copy;-;-
志;S5;7;1;Kokoro, Risshinben, Shitagokoro;shi;record;kokoroza(su), kokorozashi;plan, intend, aim at, aspire to, resolve, determine. will, intention, motive
司;S5;5;1;Kuchi, Kuchihen;shi;official;-;-
幅;S5;12;2;Haba, Kinben;fuku;hanging scroll, picture;haba;width, breadth, range
拡;S5;8;1;Tehen;kaku;expand, enlarge, widen;-;-
傾;S5;13;2;Hito, Ninben, Hitoyane;kei;lean, incline, tilt, list, tip, careen, lurch;katamu(ku), katamu(keru);incline toward, tilt, slant, slope, lurch, heel over
